Fine pool,Coarse pool,First available date,Category
AZD1222,single_vax,2024-01-01 (example),Vaccine (example)
AZD1222 + BBV152,double_vax,2023-11-11 (example),Convalescent (example)
AZD1222 + BNT162b2,double_vax,2022-04-15 (example),Breakthrough (example)
AZD1222 + CoronaVac,double_vax,,
AZD1222 + MVC-COV1901,double_vax,,
AZD1222 + Sputnik V,double_vax,,
AZD1222 + mRNA,vax_with_rna,,
AZD1222 + mRNA-1273,vax_with_rna,,
Abogen_mRNA,rna,,
Ad26.COV2.S,single_vax,,
Ad26.COV2.S + BNT162b2,double_vax,,
Ad26.COV2.S + mRNA-1273,vax_with_rna,,
Alpha,Alpha,,
BA.1_bivalent,bivalent,,
BA.5_bivalent,bivalent,,
BBIBP-CorV,single_vax,,
BBIBP-CorV + BNT162b2,double_vax,,
BBIBP-CorV + ZF2001,double_vax,,
BBV152,single_vax,,
BNT162b2,single_vax,,
BNT162b2 + BNT162b2_BA.1_bivalent,vax_with_bivalent,,
BNT162b2 + CoronaVac,double_vax,,
BNT162b2 + MVB.1.351,double_vax,,
BNT162b2 + MVD614,double_vax,,
BNT162b2 + mRNA-1273,vax_with_rna,,
BNT162b2 or AZD1222,double_vax,,
BNT162b2 or AZD1222 + mRNA-monovalent,vax_with_rna,,
BNT162b2 or mRNA-1273,unknown,,
BNT162b2_BA.1,bivalent,,
BNT162b2_BA.1 + mRNA-monovalent,bivalent_with_rna,,
BNT162b2_BA.1_bivalent,bivalent,,
BNT162b2_BA.4/5 + mRNA-monovalent,bivalent_with_rna,,
BNT162b2_Beta,bivalent,,
BNT162b2_Beta_BA.1_bivalent,bivalent,,
BNT162b2_Beta_bivalent,bivalent,,
Beta,Beta,,
Convidecia,single_vax,,
CoronaVac,single_vax,,
CoronaVac + ZF2001,double_vax,,
Delta,Delta,,
Epsilon,Epsilon,,
Gamma,Gamma,,
Inactivated,inactivated,,
Inactivated + mRNA-monovalent,inactivated_with_rna,,
Iota,Iota,,
KCONVAC,single_vax,,
L452R variants,cocktail,,
Lambda,Lambda,,
Mu,Mu,,
NVX-CoV2373,single_vax,,
Omicron/BA.1,Omicron/BA.1,,
Omicron/BA.2,Omicron/BA.2,,
Omicron/BA.4,Omicron/BA.4+,,
Omicron/BA.5,Omicron/BA.4+,,
Omicron_BA.5_or_BF.7,Omicron/BA.4+,,
Sanofi_Beta,single_vax,,
Sanofi_WT,single_vax,,
Sanofi_WT_Beta_Bivalent,bivalent,,
Sputnik V,single_vax,,
Stemirna_mRNA,rna,,
Unknown vaccine,unknown,,
Unknown variant,unknown,,
Wild Type,Wild Type,,
ZF2001,single_vax,,
mRNA,rna,,
mRNA + mRNA-1273,multiple_rna,,
mRNA + mRNA-1273 + mRNA-1273.529,multiple_rna,,
mRNA + mRNA-1273.351 + mRNA-1273.529,multiple_rna,,
mRNA + mRNA-1273.529,multiple_rna,,
mRNA + mRNA-1273.617.2 + mRNA-1273.529,multiple_rna,,
mRNA-1273,rna,,
mRNA-1273 + mRNA-1273.211,multiple_rna,,
mRNA-1273 + mRNA-1273.214,multiple_rna,,
mRNA-1273 + mRNA-1273.351,multiple_rna,,
mRNA-1273.045,rna,,
mRNA-1273.214,rna,,
mRNA-1273.222,rna,,
mRNA-1273.351_529_bivalent,bivalent_with_rna,,
mRNA-1273.529,rna,,
mRNA-1273.617.2_529_bivalent,bivalent_with_rna,,
mRNA-1273_WT_529_bivalent,bivalent_with_rna,,
mRNA-bivalent,bivalent_with_rna,,
mRNA-bivalent + Unknown vaccine,bivalent_with_rna,,
mRNA-bivalent + mRNA-monovalent,bivalent_with_rna,,
mRNA-monovalent,rna,,
spike_WT,Wild Type,,
