order_name,new_name,norm_rt_1,norm_rt_2,norm_rt_3,norm_rt_avg,norm_WuG_1,norm_WuG_2,norm_WuG_3,norm_WuG_avg,file_name,,,,,
WuD,WuD,59418.28481,34201.05102,51467.41703,48362.25095,0.464277893,0.267237467,0.402152032,0.377889131,XBB.1.16 and XBB.1.9.1,,,,,
WuG,WuG,94740,160800,128400,127980,0.740271917,1.25644632,1.003281763,1,XBB.1.16 and XBB.1.9.1,,,,,
XBB,XBB,150220.1997,117210.5906,146778.0212,138069.6038,1.173778713,0.91585084,1.146882491,1.078837348,XBB.1.16 and XBB.1.9.1,,,,,
XBB.1.16,XBB.1.16,241554.7978,193785.5513,195180.873,210173.7407,1.88744177,1.514186211,1.525088865,1.642238949,XBB.1.16 and XBB.1.9.1,,,,,
XBB.1.9.1,XBB.1.9.1,203509.2383,233976.2177,216578.6389,218021.365,1.590164387,1.828224861,1.692285036,1.703558095,XBB.1.16 and XBB.1.9.1,,,,,
WuD,WuD,30734.56122,33783.80277,80795.93289,48438.09896,0.232555086,0.255627374,0.611347759,0.366510073,example_format,,,,,
WuG,WuG,161563.7046,136957.7381,97959.60251,132160.3484,1.222482436,1.036299766,0.741217799,1,example_format,,,,,
BA.2.75_15477002,BA.2.75_15477002,13400,17350,8213,12987.66667,0.101391985,0.13127992,0.062144207,0.098272037,example_format,,,,,
BA.2.75_15495667,BA.2.75_15495667,138961.2842,105480.9748,126001.1645,123481.1412,1.05145973,0.798128759,0.953396128,0.934328206,example_format,,,,,
BA.2.75_15500079,BA.2.75_15500079,102430.4406,89781.11718,158625.4232,116945.6603,0.77504669,0.67933475,1.200249736,0.884877058,example_format,,,,,
BA.2.75_15539876,BA.2.75_15539876,93618.97681,98568.36716,114758.7458,102315.3632,0.708374168,0.745824057,0.868329625,0.77417595,example_format,,,,,
BA.2.75_15641261,BA.2.75_15641261,113468.7669,99623.34933,104556.774,105882.9634,0.858568915,0.753806649,0.791135732,0.801170432,example_format,,,,,
BA.2.75_15671745,BA.2.75_15671745,50859.11877,39736.64254,37718.67379,42771.47837,0.384828879,0.300669929,0.285400835,0.323633214,example_format,,,,,
BA.2.75_15703502,BA.2.75_15703502,60042.47099,74852.1227,53155.51918,62683.37096,0.45431532,0.566373527,0.402204745,0.474297864,example_format,,,,,
BA.1.15_15598966,BA.1.15_15598966,26744.80943,27433.64551,21653.41234,25277.28909,0.202366366,0.20757849,0.163841974,0.191262276,example_format,,,,,
BA.2_15579464,BA.2_15579464,247526.3804,365404.389,227124.4174,280018.3956,1.872924696,2.764856429,1.718551897,2.118777674,example_format,,,,,
