Pool,"Notes (type of vaccine, number of doses, strain used/infected)",Vaccine type series,Vaccine type overall,Plasma type,History variants,Most recent variant
AZD1222,"Viral vector vaccine, two doses, wildtype",Viral vector,viral vector,other,WT,WT
AZD1222 + BBV152,"Viral vector vaccine plus inactivated whole virian vaccine, two doses (AZ first, BB second), wiltype and B.1 (EPI_ISL_420545)","Viral vector, inactivated",combination,other,"WT, B.1",B.1
AZD1222 + BNT162b2,"Viral vector vaccine plus mRNA vaccine, two to three doses, all wildtype (D614)","Viral vector, mRNA",combination,other,WT,WT
AZD1222 + CoronaVac,"Viral vector vaccine plus whole inactivated virus, wildtype","Viral vector, inactivated",combination,other,WT,WT
AZD1222 + MVC-COV1901,"Viral vector vaccine plus protein subunit vaccine, wildtype","Viral vector, subunit",combination,other,WT,WT
AZD1222 + Sputnik V,"Viral vector vaccine plus adenovirus viral vector vaccine, wildtype","Viral vector, viral vector",viral vector,other,WT,WT
AZD1222 + mRNA,"Viral vector vaccine plus mRNA vaccine, wildtype and bivalent (wildtype + Omicron BA.4/5)","Viral vector, mRNA",combination,other,"WT, Omicron BA.4/5",Omicron BA.4/5
AZD1222 + mRNA-1273,"Viral vector vaccine plus mRNA vaccine, wildtype and bivalent (wildtype + Omicron BA.4/5)","Viral vector, mRNA",combination,other,"WT, Omicron BA.4/5",Omicron BA.4/5
Abogen_mRNA,"mRNA vaccine, RBD only",mRNA,mrna,mrna,WT (RBD only),WT
Ad26.COV2.S,"Recombinant adenovirus viral vector, wildtype",Viral vector,viral vector,other,WT,WT
Ad26.COV2.S + BNT162b2,"Recombinant adenovirus viral vecto plus mRNA vaccine, wiltype and B.1 (EPI_ISL_420545)",Viral vector,viral vector,other,"WT, B.1",B.1
Ad26.COV2.S + mRNA-1273,"Recombinant adenovirus viral vector plus mRNA vaccine, wildtype and bivalent (wildtype + Omicron BA.4/5)",Viral vector,viral vector,other,"WT, Omicron BA.4/5",Omicron BA.4/5
Alpha,Alpha,,,convalescent,Alpha,Alpha
BA.1_bivalent,"Bivalent vaccine, BA.1",Bivalent,unknown,other,BA.1,BA.1
BA.5_bivalent,"Bivalent vaccine, BA.5",Bivalent,unknown,other,BA.5,Omicron BA.4/5
BBIBP-CorV,"Whole inactivated virus, pan-SARS-CoV-2",Inactivated,inactivated,other,pan-SARS-CoV-2,pan-SARS-CoV-2
BBIBP-CorV + BNT162b2,"Whole inactivated virus plus mRNA vaccine, pan-SARS-CoV-2 and B.1 (EPI_ISL_420545)","Inactivated, mRNA",combination,other,"pan-SARS-CoV-2, B.1",B.1
BBIBP-CorV + ZF2001,"Whole inactivated virus plus adjuvanted protein subunit vaccine (RBD dimer), pan-SARS-CoV-2 and wildtype","Inactivated, subunit",combination,other,"pan-SARS-CoV-2, WT (RBD only)",WT
BBV152,"Inactivate whole virion vaccine, B.1 (EPI_ISL_420545)",Inactivated,inactivated,other,B.1,B.1
BNT162b2,"mRNA vaccine, wildtype",mRNA,mrna,mrna,WT,WT
BNT162b2 + BNT162b2_BA.1_bivalent,"mRNA vaccine plus BA.1-adapted mRNA vaccine, wildtype and BA.1","mRNA, mRNA",mrna,mrna,"WT, BA.1",BA.1
BNT162b2 + CoronaVac,"mRNA vaccine plus whole inactivated virus, wildtype","mRNA, inactivated",combination,other,WT,WT
BNT162b2 + MVB.1.351,"mRNA vaccine plus beta adjuvanted recombinant protein subunit vaccine, wildtype (and beta...?)","mRNA, subunit",combination,other,"WT, Beta",Beta
BNT162b2 + MVD614,"mRNA vaccine plus adjuvanted recombinant protein vaccine, wildtype","mRNA, subunit",combination,other,WT,WT
BNT162b2 + mRNA-1273,"mRNA vaccines, wildtype and bivalent (wildtype + Omicron BA.4/5)","mRNA, mRNA",mrna,mrna,"WT, Omicron BA.4/5",Omicron BA.4/5
BNT162b2 or AZD1222,"mRNA vaccine or viral vector vaccine, wildtype",mRNA or viral vector,combination,other,WT,WT
BNT162b2 or AZD1222 + mRNA-monovalent,"mRNA vaccine or viral vector vaccine plus mRNA, wildtype","mRNA or viral vector, mRNA",combination,other,WT,WT
BNT162b2 or mRNA-1273,"mRNA vaccine, wildtype or bivalent (wildtype + Omicron BA.4/5)",mRNA,mrna,mrna,"WT, Omicron BA.4/5",Omicron BA.4/5
BNT162b2_BA.1,"BA.1-adapted mRNA vaccine, BA.1",mRNA,mrna,mrna,BA.1,BA.1
BNT162b2_BA.1 + mRNA-monovalent,"BA.1-adapted mRNA vaccine plus mRNA vaccine, BA.1 and wildtype","mRNA, mRNA",mrna,mrna,"WT, BA.1",BA.1
BNT162b2_BA.1_bivalent,"BA.1-adapted mRNA vaccine, BA.1 and wildtype",mRNA,mrna,mrna,"WT, BA.1",BA.1
BNT162b2_BA.4/5 + mRNA-monovalent,"BA.4/5-adapted mRNA vaccine plus mRNA, BA.4/5 and wildtype","mRNA, mRNA",mrna,mrna,"WT, Omicron BA.4/5",Omicron BA.4/5
BNT162b2_Beta,"Beta-adapted mRNA vaccine, Beta",mRNA,mrna,mrna,Beta,Beta
BNT162b2_Beta_BA.1_bivalent,"Beta/BA.1 adapted bivalent mRNA vaccine, Beta and BA.1",mRNA,mrna,mrna,"Beta, BA.1",BA.1
BNT162b2_Beta_bivalent,"Beta-adapted mRNA vaccine, Beta and wildtype",mRNA,mrna,mrna,"WT, Beta",Beta
Beta,Beta,,,convalescent,Beta,Beta
Convidecia,"Viral vector vaccine, wildtype",viral vector,viral vector,other,WT,WT
CoronaVac,"Inactivated virus, WT",inactivated,inactivated,other,WT,WT
CoronaVac + ZF2001,"Inactivated virus + Protein subunit, (RBD of WT)","inactivated, subunit",combination,other,WT (RBD only),WT
Delta,Delta,,,convalescent,Delta,Delta
Epsilon,Epsilon,,,convalescent,Epsilon,Epsilon
Gamma,Gamma,,,convalescent,Gamma,Gamma
Iota,Iota,,,convalescent,Iota,Iota
Lambda,Lambda,,,convalescent,Lambda,Lambda
Mu,Mu,,,convalescent,Mu,Mu
L452R variants,L452R variants,,,convalescent,L452R,L452R
Omicron/BA.1,BA.1,,,convalescent,BA.1,BA.1
Omicron/BA.2,BA.2,,,convalescent,BA.2,BA.2
Omicron/BA.4,BA.4,,,convalescent,BA.4,Omicron BA.4/5
Omicron/BA.5,BA.5,,,convalescent,BA.5,Omicron BA.4/5
Omicron_BA.5_or_BF.7,BA.5 or BF.7,,,convalescent,BA.5/7,BA.5/7
Inactivated,Inactivated virus,inactivated,inactivated,other,,unknown
Inactivated + mRNA-monovalent,Inactivated virus and mRNA,"inactivated, mRNA",combination,other,,unknown
KCONVAC,"Inactivated virus, WT",inactivated,inactivated,other,WT,WT
NVX-CoV2373,"Protein Subunit, WT",subunit,subunit,other,WT,WT
Sanofi_Beta,"Protein subunit, Beta",subunit,subunit,other,Beta,Beta
Sanofi_WT,"Protein subunit, WT",subunit,subunit,other,WT,WT
Sanofi_WT_Beta_Bivalent,"Protein subunit, WT + Beta",subunit,subunit,other,"WT, Beta",Beta
Sputnik V,"Viral vector, WT",viral vector,viral vector,other,WT,WT
Stemirna_mRNA,mRNA D614,mRNA,mrna,mrna,WT,WT
ZF2001,"Protein subunit, WT RBD",subunit,subunit,other,WT (RBD only),WT
mRNA,mRNA WT,mRNA,mrna,mrna,WT,WT
mRNA + mRNA-1273,mRNA WT,"mRNA, mRNA",mrna,mrna,WT,WT
mRNA + mRNA-1273 + mRNA-1273.529,"mRNA, WT + BA.1","mRNA, mRNA",mrna,mrna,"WT, BA.1",BA.1
mRNA + mRNA-1273.351 + mRNA-1273.529,"mRNA, WT + Beta + BA.1","mRNA, mRNA, mRNA",mrna,mrna,"WT, Beta, BA.1",BA.1
mRNA + mRNA-1273.529,"mRNA, WT + BA.1","mRNA, mRNA",mrna,mrna,"WT, BA.1",BA.1
mRNA + mRNA-1273.617.2 + mRNA-1273.529,"mRNA, WT + Delta + BA.1","mRNA, mRNA, mRNA",mrna,mrna,"WT, Delta, BA.1",BA.1
mRNA-1273,mRNA WT,mRNA,mrna,mrna,WT,WT
mRNA-1273 + mRNA-1273.211,"mRNA, WT + Beta","mRNA, mRNA",mrna,mrna,"WT, Beta",Beta
mRNA-1273 + mRNA-1273.214,"mRNA, WT + BA.1","mRNA, mRNA",mrna,mrna,"WT, BA.1",BA.1
mRNA-1273 + mRNA-1273.351,"mRNA, WT + Beta","mRNA, mRNA",mrna,mrna,"WT, Beta",Beta
mRNA-1273.045,"mRNA, BA.4/5",mRNA,mrna,mrna,Omicron BA.4/5,Omicron BA.4/5
mRNA-1273.214,"mRNA, WT + BA.1",mRNA,mrna,mrna,"WT, BA.1",BA.1
mRNA-1273.222,"mRNA, WT + BA.4/5",mRNA,mrna,mrna,"WT, Omicron BA.4/5",Omicron BA.4/5
mRNA-1273.351_529_bivalent,"mRNA, WT + Beta + BA.1",mRNA,mrna,mrna,"WT, Beta, BA.1",BA.1
mRNA-1273.529,"mRNA, BA.1",mRNA,mrna,mrna,BA.1,BA.1
mRNA-1273.617.2_529_bivalent,"mRNA, WT + Delta + BA.1",mRNA,mrna,mrna,"WT, Delta, BA.1",BA.1
mRNA-1273_WT_529_bivalent,"mRNA, WT + BA.4/5",mRNA,mrna,mrna,"WT, Omicron BA.4/5",Omicron BA.4/5
mRNA-bivalent,"mRNA, WT + BA.4/5",mRNA,mrna,mrna,"WT, Omicron BA.4/5",Omicron BA.4/5
mRNA-bivalent + Unknown vaccine,"mRNA, WT + BA.4/5",mRNA,mrna,mrna,"WT, Omicron BA.4/5",Omicron BA.4/5
mRNA-bivalent + mRNA-monovalent,"mRNA, WT + BA.4/5","mRNA, mRNA",mrna,mrna,"WT, Omicron BA.4/5",Omicron BA.4/5
mRNA-monovalent,"mRNA, WT",mRNA,mrna,mrna,WT,WT
spike_WT,,,,convalescent,WT,WT
Unknown vaccine,,,,other,,unknown
Unknown variant,,,,other,,unknown
Wild Type,,,,convalescent,WT,WT
Conv_WT,Convalescent serum WT,,,convalescent,WT,WT
Conv_Delta,Convalescent serum Delta,,,convalescent,Delta,Delta
Vac_Pfiz,"mRNA vaccine (BNT162b2), two doses",mRNA,mrna,mrna,"pan-SARS-CoV-2, B.1",B.1
Vac_Mod,"mRNA-1273, two doses",mRNA,mrna,mrna,"WT, Omicron BA.4/5",Omicron BA.4/5
Boost_Pfiz,"mRNA vaccine (BNT162b2), three doses",mRNA,mrna,mrna,"pan-SARS-CoV-2, B.1",B.1
Boost_Mod,"mRNA-1273, three doses",mRNA,mrna,mrna,"WT, Omicron BA.4/5",Omicron BA.4/5
Bi-valent Boost,mRNA-1273 or BNT162b2 plus BA.4/5 bivalent booster,mRNA,mrna,mrna,,Omicron BA.4/5
BTI_Delta,vaccinated plus breakthrough with Delta,,,convalescent,Delta,Delta
BTI_BA.1,vaccinated plus breakthrough with BA.1,,,convalescent,BA.1,BA.1
BTI_BA.2.12.1,vaccinated plus breakthrough with BA.2.12.1,,,convalescent,BA.2.12.1,BA.2.12.1
