Name,Conv_Delta,Conv_WT-1,Conv_WT-2,Conv_WT-3,Vac_Mod-1,Vac_Mod-2,Vac_Pfiz-1,Vac_Pfiz-2,Vac_Pfiz-3,Boost_Mod-1,Boost_Mod-2,Boost_Mod-3,Boost_Pfiz-1,Boost_Pfiz-2,Bi-valent Boost,BTI_Delta-1,BTI_Delta-2,BTI_Delta-3,BTI_BA.1-1,BTI_BA.1-2,BTI_BA.1-3,BTI_BA.2.12.1,BTI_BA.4/5
WuG,7406,6520,779,204,2034,2121,732,646,179,7630,10950,4726,5103,3401,8570,5705,13479,32596,3565,12700,21069,2920,3018
BQ.1,40,160,211,<20,<20,40,<20,<20,<20,286,575,200,209,145,2609,314,747,731,230,682,714,503,398
BQ.1.1,93,171,457,195,<20,63,<20,<20,<20,310,496,214,227,159,3149,562,764,774,357,1125,969,460,765
XBB,28,60,<20,<20,<20,<20,<20,<20,<20,218,180,44,53,59,440,164,366,393,238,489,497,122,310
XBB.1,23,109,<20,<20,<20,37,<20,<20,<20,214,388,52,109,80,538,164,189,579,221,445,484,142,373
XBB.1.5,56,90,<20,<20,<20,<20,<20,<20,<20,126,210,45,103,67,587,133,184,285,56,653,534,161,450
CH.1.1,<20,36,<20,<20,<20,<20,<20,<20,<20,69,82,27,39,28,308,42,123,122,<20,374,299,86,131
WT,12173,4622,1798,275,1865,2564,855,700,238,4471,9412,1457,2194,1668,6619,2173,8674,41383,1749,4858,8292,1450,2192
alpha,10997,4476,750,139,1354,1592,521,339,137,6884,9136,3032,3319,2833,15782,5070,8417,37354,2837,6481,18395,4336,2580
gamma,4739,3556,528,97,664,791,276,174,49,3390,7005,2028,2308,1931,8960,2649,6171,16821,1785,7913,18371,4744,5738
BA.1,134,1048,113,<20,100,133,<20,<20,<20,1767,2009,686,669,671,3776,955,3614,1538,1040,5575,5020,1550,1144
BA.2,683,1015,246,23,88,130,41,39,<20,1699,2131,628,778,761,5110,904,3077,1704,618,3263,6676,1891,1721
BA.2.12.1,435,652,222,22,75,120,53,30,<20,986,1655,569,742,489,5638,1425,2794,1574,439,2715,6668,1821,1764
BA.4,242,735,218,39,55,117,33,46,<20,895,1787,959,529,554,4615,903,1845,1338,373,2635,5835,986,1547
delta,18963,5605,1144,272,1523,3541,1452,983,169,3410,6960,1778,2876,1810,5984,3726,14016,42701,1476,4662,8486,2352,2506
beta,2179,1146,213,27,203,261,104,74,<20,1669,1835,989,1022,991,4884,1015,1828,5935,715,3960,7238,2413,3138
SARS1,<20,128,<20,<20,<20,25,<20,<20,<20,356,309,214,190,147,465,298,200,435,141,292,448,152,221
