Pool,Mean,Std
Conv_WT-2,1.4916111,0.042144205
Vac_Pfiz-3,1.472366,0.04514487
Conv_WT-3,1.47019,0.042214885
Vac_Pfiz-1,1.4361789,0.041039754
Vac_Pfiz-2,1.4211862,0.042704772
Vac_Mod-2,1.3960695,0.0421514
Conv_Delta,1.3416872,0.039607856
Bi-valent Boost,1.3227654,0.04012387
Conv_WT-1,1.2690071,0.039100807
Vac_Mod-1,1.161052,0.043373182
BTI_BA.2.12.1,1.1576024,0.038920093
BTI_BA.1-3,1.1120989,0.03918339
Boost_Mod-2,1.0554689,0.041238256
BTI_BA.4/5,1.0472517,0.039369512
BTI_Delta-2,1.0303073,0.039298795
BTI_Delta-1,1.0290412,0.03885669
Boost_Mod-1,1.0238235,0.038822867
BTI_Delta-3,1.0219525,0.04067813
Boost_Mod-3,1.0182233,0.039051943
BTI_BA.1-2,0.9951128,0.039932728
BTI_BA.1-1,0.9836116,0.040048916
Boost_Pfiz-1,0.97705996,0.039495222
Boost_Pfiz-2,0.95750374,0.03882427
