Serum Pool,Mean,Std
Conv_Delta,7.732361,0.100042105
Conv_WT-1,8.316446,0.10110593
Conv_WT-2,6.894263,0.09980118
Conv_WT-3,5.3035,0.10001546
Vac_Mod-1,6.1165743,0.1033256
Vac_Mod-2,6.6398263,0.10085913
Vac_Pfiz-1,5.6557474,0.10347512
Vac_Pfiz-2,5.5071836,0.10243342
Vac_Pfiz-3,5.1392694,0.099028744
Boost_Mod-1,8.703445,0.10235702
Boost_Mod-2,9.066487,0.10400416
Boost_Mod-3,7.9840164,0.09624618
Boost_Pfiz-1,8.066526,0.10463775
Boost_Pfiz-2,7.8630157,0.09941485
Bi-valent Boost,10.147606,0.09752091
BTI_Delta-1,8.332822,0.10185872
BTI_Delta-2,9.326729,0.098505825
BTI_Delta-3,9.291535,0.09966205
BTI_BA.1-1,7.941198,0.0987916
BTI_BA.1-2,9.585598,0.10289104
BTI_BA.1-3,10.190259,0.101135164
BTI_BA.2.12.1,8.952549,0.098675415
BTI_BA.4/5,9.072244,0.10064511
