Mutation,Mean,Std
BTI_Delta-3,8192.916,233.43217
Bi-valent Boost,7983.776,235.22557
BTI_BA.1-3,7948.164,238.33372
BTI_Delta-2,6127.1294,245.98672
BTI_BA.1-2,5856.128,231.67012
Boost_Mod-2,5672.9644,234.82281
Conv_Delta,5109.474,242.19469
BTI_BA.2.12.1,4922.59,232.1295
Boost_Mod-1,4900.729,237.3433
BTI_BA.4/5,4835.108,233.81454
Conv_WT-1,4660.356,243.06677
BTI_Delta-1,4549.82,232.09381
Boost_Pfiz-1,4328.045,236.33514
Boost_Mod-3,4211.2915,244.9312
Boost_Pfiz-2,4178.174,243.34006
BTI_BA.1-1,4163.4434,232.33563
Vac_Mod-2,3920.3137,243.72792
Conv_WT-2,3822.0613,242.16495
Vac_Mod-1,3801.444,245.66025
Vac_Pfiz-1,3691.259,242.24901
Vac_Pfiz-2,3663.141,236.95845
Conv_WT-3,3621.8457,246.15028
Vac_Pfiz-3,3600.3,240.34897
