Reference,Reference: DOI,Assay,Section,Pre-vaccine Infection,Vaccine,# Shots,Months,Host,Control,Control: NT50 Cmp,Control: NT50 GeoMean,Control: NT50 GSD,Variant,Variant: Pos,Variant: Mutations,# Results,Potency: NT50 Cmp,Potency: NT50 GeoMean,Potency: NT50 GSD,Fold Reduction: Cmp,Fold Reduction: Median
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,580.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,565.0,1.0,=,1.0
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,1454.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,455.0,1.0,=,3.2
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,1582.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,763.0,1.0,=,2.1
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,2180.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,1051.0,1.0,=,2.1
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,2340.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,376.0,1.0,=,6.2
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,2881.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,1390.0,1.0,=,2.1
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,3943.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,1974.0,1.0,=,2.0
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,608.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,364.0,1.0,=,1.7
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,625.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,591.0,1.0,=,1.1
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,893.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,455.0,1.0,=,2.0
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,912.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,741.0,1.0,=,1.2
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,1177.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,693.0,1.0,=,1.7
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,1190.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,373.0,1.0,=,3.2
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,1309.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,1497.0,1.0,=,0.9
Neerukonda21,10.3390/v13122485,Pseudovirus (HIV),Supplementary Figure S2A,None,BNT162b2,2,1m,Human,Wild Type (B.1),=,1357.0,1.0,Iota/E484K,5,L5F + T95I + D253G + E484K + A701V,1,=,437.0,1.0,=,3.1
